"date_col","air_pressure","air_temperature","relative_humidity","wind_speed","wind_direction","Measured_Upscaled"
2019-03-09,48507.0633333333,457.483333333333,3881.22,436.216666666667,11481.0666666667,11339.96
2019-03-10,48328.6933333333,388.2,3674.39666666667,500.516666666667,11110.6333333333,8015.224
2019-03-11,48945.5966666666,339.416666666667,3095.9,412.446666666667,12981.7,10250.543
2019-03-12,48387.1866666667,353.396666666667,3547.45333333333,552.036666666667,9854.7,11003.69
2019-03-13,48219.9766666666,414.496666666667,3346.72666666667,605.953333333333,12273.8666666667,12581.832
2019-03-14,48165.4733333333,437.366666666667,3826.17666666667,455.28,12067.4,10762.207
2019-03-15,48267.0266666666,468.136666666667,4287.46,508.296666666667,11657.4666666667,10819.519
2019-03-16,48191.2466666667,509.616666666667,3746.99666666667,544.533333333333,10716.8,10707.847
2019-03-17,48135.28,362.313333333333,3574.02333333333,408.746666666667,12026.4666666667,8719.513
2019-03-18,48871.3133333333,365.013333333333,3466.51,222.113333333333,13013.0666666667,2811.511
2019-03-19,49281.4633333333,381.526666666667,3935.22,186.54,10574.2,662.52
2019-03-20,49524.18,439.86,4291.16666666667,192.686666666667,10900.9,1095.368
2019-03-21,49566.1466666667,415.59,4287.81,136.753333333333,10865.7,767.782
2019-03-22,49358.8266666666,414.293333333333,4316.66,162.74,9746.66666666667,974.151
2019-03-23,49413.68,425.556666666667,4025.08,242.02,6775.86666666666,1500.794
2019-03-24,49332.94,382.286666666667,3585.06,216.176666666667,8531.43333333333,2060.116
2019-03-25,49290.1266666667,402.69,3493.79666666667,541.123333333333,15098.2333333333,10012.866
2019-03-26,49525.64,406.686666666667,3492.30333333333,228.71,13944.6666666667,1588.687
2019-03-27,49584.05,441.846666666667,3758.71333333333,104.046666666667,13256.0666666667,603.933
2019-03-28,49645.8633333333,455.19,4050.62333333333,114.663333333333,8730.5,556.404
2019-03-29,49355.78,466.796666666667,3981.01333333333,155.966666666667,2969.9,1168.835
2019-03-30,48972.18,538.283333333333,3775.94333333333,116.526666666667,7138.93333333333,1433.153
2019-03-31,47035.5166666667,436.763333333333,3567.75666666667,380.053333333333,1873.06666666667,4221.986
2019-04-01,48869.86,428.46,3161.19,326.54,3185,3700.897
2019-04-02,48155.6033333333,472.983333333333,3528.97,282.716666666667,10161.0333333333,4165.024
2019-04-03,47933.02,289.71,3709.83,233.276666666667,8491.76666666666,1654.689
2019-04-04,47924.3333333333,328.49,3379.81666666667,228.806666666667,7458.06666666667,1248.31
2019-04-05,48176.9233333333,420.383333333333,3355.04333333333,252.053333333333,4367.36666666667,1466.1
2019-04-06,48166.2366666667,453.573333333333,4044.87,253.956666666667,2346.36666666667,938.187
2019-04-07,48220.5133333333,511.3,4257.70333333333,186.91,9238.1,1403.393
2019-04-08,48445.8866666667,452.2,4424.13,176.88,12075.0333333333,495.102
2019-04-09,48526.3733333334,465.713333333333,4085.55666666667,248.05,3409.6,2066.371
2019-04-10,48770.9733333334,383.946666666667,3183.91,474.38,1721.63333333333,5026.315
2019-04-11,49092.91,340.923333333333,3166.55333333333,412.116666666667,1587.3,3543.734
2019-04-12,49171.32,344.916666666667,2863.48,300.806666666667,2141.96666666667,3009.089
2019-04-13,49188.9133333334,280.723333333333,3025.33333333333,321.606666666667,1826.46666666667,2740.898
2019-04-14,49156.4833333333,307.663333333333,3364.85666666667,270.79,2590.13333333333,2116.122
2019-04-15,48964.0666666667,470.223333333333,3041.48,305.083333333333,4571.73333333333,3523.836
2019-04-16,48666.9633333334,574.096666666667,3038.97333333333,200.873333333333,6423.73333333333,2837.042
2019-04-17,48921.3,500.903333333333,4172.96,152.82,7942.23333333333,739.364
2019-04-18,49053.36,697.893333333333,2998.22333333333,261.25,2826.46666666667,4034.389
2019-04-19,49236.27,665.51,3017.06,270.663333333333,2246.1,3493.341
2019-04-20,49276.2333333333,634.443333333333,3462.26,244.083333333333,2509.1,2627.284
2019-04-21,48880.75,637.563333333333,3166.06333333333,228.51,2122.86666666667,2556.3
2019-04-22,48252.1666666666,842.533333333333,2277.73,229.48,3973.43333333333,3278.083
2019-04-23,47811.7533333333,744.99,2671.14666666667,257.173333333333,4037.9,3925.981
2019-04-24,47795.86,715.996666666667,3407.22666666667,297.86,8247.36666666667,6615.452
2019-04-25,48088.7733333333,596.453333333333,3569.74333333333,335.306666666667,7664.86666666667,5064.053
2019-04-26,48511.27,563.043333333334,3574.23333333333,250.223333333333,9589.76666666667,2431.75
2019-04-27,48474.6666666667,519.76,3336.91666666667,477.963333333333,10962.3,7180.003
2019-04-28,48811.28,477.283333333333,3817.06333333333,262.54,11091.9,2081.124
2019-04-29,49153.63,517.746666666667,3914.11666666667,212.48,5260.13333333334,1126.561
2019-04-30,49089.8666666667,509.763333333334,3937.38333333333,271.746666666667,1736.86666666667,1687.966
2019-05-01,48811.2466666667,505.366666666667,3712.55,134.836666666667,11109.1666666667,806.018
2019-05-02,48545.2333333333,535.216666666666,4126.51666666667,209.603333333333,12428.4,1300.587
2019-05-03,48598.7066666667,466.753333333334,3562.57,221.28,8167.13333333333,997.897
2019-05-04,48645.1333333333,404.963333333333,3414.30666666667,563.356666666667,13676.7333333333,5849.008
2019-05-05,49038.11,426.253333333333,3264.10333333333,419.756666666667,13400.2666666667,4138.776
2019-05-06,48959.8033333333,450.26,3012.91,231.27,11983.1333333333,2321.46
2019-05-07,48685.68,495.93,3116.50333333333,182.18,7465.46666666667,588.659
2019-05-08,47838.7333333333,543.053333333334,3566.04333333333,328.506666666667,8377.93333333334,3894.742
2019-05-09,47835.2833333333,564.32,3835.40666666667,269.783333333333,11061.1333333333,3433.004
2019-05-10,48382.79,542.853333333333,3826.12333333333,143.203333333333,9397.53333333333,1848.693
2019-05-11,48822.5133333334,523.383333333333,3582.68,337.973333333333,6991.6,4544.065
2019-05-12,49641.9866666666,508.106666666666,3214.9,347.763333333333,5323.2,4236.51
2019-05-13,49819.06,509.726666666667,3389.24,340.47,2037.1,3942.777
2019-05-14,49543.5066666667,524.596666666667,3434.99666666667,388.963333333333,2116.26666666667,4442.233
2019-05-15,49188.47,597.966666666666,3407.36333333333,290.176666666667,3093.96666666667,2980.965
2019-05-16,48787.93,600.686666666666,3262.24,335.103333333333,1863.46666666667,3240.825
2019-05-17,48303.9233333333,580.983333333333,3707.55333333333,228.473333333333,2373.83333333333,1251.224
2019-05-18,48253.8833333333,613.74,3754.97333333333,186.243333333333,3230.16666666667,786.91
2019-05-19,48329.43,583.403333333334,4274.5,330.69,10915.1,2744.305
2019-05-20,48467.0933333333,546.593333333333,4381.99,352.77,16017.4666666667,3757.085
2019-05-21,48760.37,566.026666666667,4093.56,224.476666666667,15504.5,6435.903
